,zipcode,state,lng,lat
29050,98610,WA,-121.835138,45.749332
29051,98611,WA,-122.9139,46.278291
29052,98612,WA,-123.362716,46.195383
29053,98613,WA,-120.945973,45.703183
29054,98616,WA,-122.294186,46.069012
29055,98619,WA,-121.28849,46.007104
29056,98620,WA,-120.812981,45.832021
29057,98621,WA,-123.588845,46.353481
29058,98624,WA,-124.02822,46.314214
29059,98625,WA,-122.816588,46.011229
29060,98626,WA,-122.886994,46.148491
29061,98628,WA,-121.229231,45.751534
29062,98629,WA,-122.623972,45.880587
29063,98631,WA,-124.047041,46.377369
29064,98632,WA,-122.963421,46.151354
29065,98635,WA,-121.250112,45.74495
29066,98638,WA,-123.804381,46.352758
29067,98640,WA,-124.043582,46.502867
29068,98642,WA,-122.693354,45.784634
29069,98643,WA,-123.657105,46.307076
29070,98645,WA,-122.764886,46.316322
29071,98647,WA,-123.43316,46.295186
29072,98648,WA,-121.909346,45.688173
29073,98649,WA,-122.647696,46.295605
29074,98650,WA,-121.516272,45.982789
29075,98651,WA,-121.597408,45.740872
29076,98660,WA,-122.68014,45.64183
29077,98661,WA,-122.625146,45.641807
29078,98662,WA,-122.576182,45.674519
29079,98663,WA,-122.660385,45.6514
29080,98664,WA,-122.576741,45.623086
29081,98665,WA,-122.664223,45.68217
29082,98670,WA,-121.148586,45.815567
29083,98671,WA,-122.310396,45.595921
29084,98672,WA,-121.479459,45.755142
