,DISTANCE,CASES,WEIGHT,VOLUME,ORIGIN ZIP,DEST ZIP,ACTUAL MODE,ACTUAL EQUIP,PU_APPT,DL_APPT
2726806,487.7,3,4.97,0.23,17345,24219,MTNORAM.PARCEL,MTNORAM.53DV,9/12/2022 22:09,9/13/2022 19:09
823025,4.4,64,7082.0,2006.37,46168,46168,CORP.TL,CORP.53DV,1/28/2022 20:00,1/31/2022 20:00
4311799,1982.3,1254,43022.69,12.54,60544,90670,MTNORAM.INTERMODAL,MTNORAM.53DV,6/2/2022 3:00,6/10/2022 11:30
4037368,303.0,0,41.09,4.11,76177,78006,MTNORAM.LTL,MTNORAM.53DV,10/1/2021 16:10,10/5/2021 20:10
156446,374.9,0,0.19,0.01,53158,45036,CORP.PARCEL,CORP.53DV,8/29/2022 12:08,8/26/2022 17:08
4387798,1332.9,1440,42489.96,14.4,60490,78040,MTNORAM.INTERMODAL,MTNORAM.53DV,6/20/2022 13:00,6/26/2022 16:00
2105097,885.6,16,1.16,0.06,38134,21228,CORP.PARCEL,CORP.53DV,4/5/2022 21:04,4/7/2022 20:04
2024160,11.3,28,2922.0,596.58,80011,80216,CORP.TL,CORP.53DV,10/26/2021 20:00,10/26/2021 20:00
1055939,11.3,73,7499.3,1809.89,80011,80216,CORP.TL,CORP.53DV,2/8/2022 20:00,2/8/2022 20:00
3210026,117.0,2,0.8,0.08,17345,22151-4401,MTNORAM.PARCEL,MTNORAM.53DV,8/1/2022 18:08,8/2/2022 18:08
4120322,26.3,120,77.75,3.32,8512,8016,MTNORAM.PARCEL,MTNORAM.53DV,12/3/2021 22:12,12/6/2021 20:12
929806,272.6,329,5.0,1.17,75261,77478,CORP.TL,CORP.53BK,3/16/2022 1:03,3/16/2022 6:03
3829757,760.6,1064,41087.42,10.64,N9V 2Z6,68138,MTNORAM.TL,MTNORAM.53DV,2/18/2022 0:00,2/22/2022 10:00
2769800,1168.3,3,3.61,0.17,17345,72703,MTNORAM.PARCEL,MTNORAM.53DV,9/12/2022 17:09,9/13/2022 20:09
2603593,2764.4,6,28.22,1.54,17050,95363,CORP.PARCEL,CORP.53DV,3/29/2022 21:03,4/1/2022 0:04
1828964,2111.2,1,2.0,0.3,40219,91331,CORP.PARCEL,CORP.53DV,10/14/2021 7:10,10/18/2021 15:10
1798308,1754.1,1,74.16,10.02,90810,T6W 3H5,CORP.LTL,CORP.53DV,9/27/2021 21:09,10/15/2021 17:10
1939982,1039.4,1,2.26,277.31,38637,14450-4236,CORP.PARCEL,CORP.53DV,11/18/2021 23:11,11/23/2021 20:11
516839,359.2,412,2650.33,252.5,17050,43125,CORP.TL,CORP.53RF,8/16/2022 13:08,8/16/2022 20:08
4746894,1829.9,1,0.83,0.04,17345,78572,MTNORAM.PARCEL,MTNORAM.53DV,5/4/2022 17:05,5/5/2022 20:05
4403751,310.9,1,0.27,0.03,17345,12180-2446,MTNORAM.PARCEL,MTNORAM.53DV,5/24/2022 23:05,5/25/2022 18:05
3579088,582.6,0,53.57,3.71,84104,83522,MTNORAM.LTL,MTNORAM.53DV,2/9/2022 4:02,2/12/2022 1:02
4278987,76.0,250,8.5,0.73,8512,18017,MTNORAM.PARCEL,MTNORAM.53DV,6/17/2022 21:06,6/20/2022 17:06
25793,0.0,7,0.33,0.63,38134,778,CORP.PARCEL,CORP.53DV,8/24/2022 22:08,8/31/2022 21:08
237365,4.4,17,1573.0,208.61,46168,46123,CORP.TL,TPX.53XX,9/16/2022 4:09,9/19/2022 9:09
